# This file is generated on 02-Oct-2023 at 12:27:51 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Louvain-la-Neuve (Lat = 5.0670e+01 deg, Lon = 4.6100e+00 deg, Alt = 1.6000e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 2.6210e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 2.3534e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 2.0210e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 1.6995e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 1.3978e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 1.1169e-01
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 8.9996e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 6.2243e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 3.3667e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 4.0000e+01, 1.5063e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 5.5000e+01, -6.1578e-03
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 7.2000e+01, -2.4672e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 9.0000e+01, -4.0440e-02
1, 8, 1.9700e+01, 4.0000e+01, 1.0000e+00, 9.9000e+01, -4.7299e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 1.0000e-03, 7.2023e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 2.0000e-03, 6.4520e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 5.0000e-03, 5.5678e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 8.0000e-03, 5.1571e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 4.9715e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 4.5988e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 4.2108e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 3.8569e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 3.5079e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 3.1877e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 2.9093e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 2.6256e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 2.3376e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 2.0989e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 1.8025e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 1.5157e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 1.2467e-01
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 9.9612e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 8.0264e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 5.5512e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 3.0027e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 1.3434e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 5.5000e+01, -5.4919e-03
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 7.2000e+01, -2.2004e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 9.0000e+01, -3.6067e-02
1, 9, 1.9700e+01, 4.5000e+01, 1.0000e+00, 9.9000e+01, -4.2185e-02
1, 10, 1.9700e+01, 5.0000e+01, 1.0000e+00, 1.0000e-03, 6.5426e-01
1, 10, 1.9700e+01, 5.0000e+01, 1.0000e+00, 2.0000e-03, 5.8610e-01
1, 10, 1.9700e+01, 5.0000e+01, 1.0000e+00, 5.0000e-03, 5.0578e-01
1, 10, 1.9700e+01, 5.0000e+01, 1.0000e+00, 8.0000e-03, 4.6848e-01
1, 10, 1.9700e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 4.5161e-01
1, 10, 1.9700e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 4.1775e-01
